question,answer
"hi sir,
It finds very difficult to watch videos and read commends as every video has more than  200 commends  and its very time consuming also.
Could you please help us with your approach to tackle this problem and complete this course?",Watch videos in sequence and read top 10-15 comments after watching a video.
"Hi, are people from Kenya allowed to join this course?","Yes, they are allowed."
Are OOPS concepts of Python covered in this course???,"No, they aren't explicitly covered. All the basics to build machine learning models are covered."
"Is there any cloud(AWS,AZURE,GCP) machine learning certification needed besides this course for doing better in career?If yes which one is better? Please give your suggestion.","No, there isn't such hard requirement of any other certification needed. And it also depends a lot on the skill that you want to add along with ML and DL. Don't look for certificates to do. Look for the skills to add."
"Hi Team,
I come from a non-technical background and zero experience on coding. Am working as a recruiter from a decade closely. Will this course help me.","Please drop a mail at team@appliedaicourse.com
with all your details and the questions, contact details if possible."
"Hi,
Is there a notebook containing all the content taught here that I could download?",We provide gdrive links to content/ipynb notebooks under respective video lectures/modules.
"How can I find it? For example, where's the notebook for the content covered in the Linear Algebra portion?",Please download the notes of this course prepared by one of the course participants.
"Q4: Students marks dashboard
consider the marks list of class students given two lists
Students = ['student1','student2','student3','student4','student5','student6','student7','student8','student9','student10']
Marks = [45, 78, 12, 14, 48, 43, 45, 98, 35, 80]
from the above two lists the Student[0] got Marks[0], Student[1] got Marks[1] and so on.
in this question.....
There is a correction in 4(c). The output shouldn't contain 35. The 25th percentile value is 37.
How 25th percentile is 37

sorted_list = [12, 14, 35, 43, 45, 47, 48, 78, 80, 98]
median = (45+47)/2 = 46
new_list = [12, 14, 35, 43, 46, 48, 78, 80, 98]
new_median = 46
left_side = [12,14,35,43]
so 25th percentile = (14+35)/2 = 24.5  explain how it is 37",There are different formulae which can be used to calculate percentiles. Please try using linear interpolation to get the answer.
I was looking for data science course as i saw your video of how all this intersect should i go for this course will it cover the all syllabus of data science which other institute are offering if there some exception please let me know,Please drop us an email to team@appliedaicourse.com regarding your queries along with your contact number so that we will help you in person.
"in one problem of python mandatory assignment, i had refered geeks for geeks so that logic i have applied after understanding , so basically 90% code is almost same, so that will count as plagiarism, or else  i write in code that taken reference from geeks for geeks",Please mention all the references taken in your notebook.
"Q2: Select a number randomly with probability proportional to its magnitude from the given array of n elements
consider an experiment, selecting an element from the list A randomly with probability proportional to its magnitude. assume we are doing the same experiment for 100 times with replacement, in each experiment you will print a number that is selected randomly from A.

Ex 1: A = [0 5 27 6 13 28 100 45 10 79]
let f(x) denote the number of times x getting selected in 100 experiments.
f(100) > f(79) > f(45) > f(28) > f(27) > f(13) > f(10) > f(6) > f(5) > f(0)

in this question of python mandatory assignment. Can you please give example of the output. I am not able to understand that what will be the output of this type of problem.",Please look into Proportional sampling video in Probability and Statistics chapter. This problem has been discussed there.
I'm a beginner in competitive programming so should I focus more on my competitive programming before joining this course or Kaggle competition will help me after this course?,"There are no prerequisites for this course. If you are a beginner in ML world, It is recommended to learn the concepts of ML first before trying them. Else you can learn from this course and Kaggle parallelly."
"hey, as you mentioned that after 15 assignments the mock interview will start. So in that 15 assignments those optional 2 python ass. is considered or not?","Optional assignments are not considered. Only mandatory assignments are considered. Once you finish 15 assignments, please send an email to team@appliedaicourse.com"
"Hi team ,
I am not able to view my SQL_Assignment_Reference.ipynb and IMDB-Assignment.db files in my sql assignment its asking me to install a new app? How can i open these files?","Please send us an email to team@appliedaicourse.com with your Anydesk IP addess and contact number, so that we could get back to you and assist you better by remoting into your PC."
"hi  team,
In python mandatory assignment, some body of code like function name and all is already made and
 given by you. So what if we write the code without function?. it is necessary to write function. Because in 1 problem i am getting answer without using function.",It is recommended to use functions. Please follow all the given instructions.
"Hello aaic team,can i use macbook for data science or machine learning or deep learning? Because heard somewhere that couldn't use macbook for all this","Yes, you can use the MacBook. But Training Deep Learning models will be difficult on Mac. You need NVIDIA eGPU for your mac. It takes time but doable."
"Hi team,
it is valid if we ask question of the assignment in stack overflow or git hub?",you can always ask questions related to concepts on any platform
"All of a sudden my laptop got crashed, unfortunately my whole notes was in that laptop.
If anyone don't mind please share the notes.",Please try to keep a copy of your notes on google drive also so that you will always have a backup.
What version of TensorFlow is used in the course?,We have used TF 1.0 in videos. There are live sessions on TF 2.0
"Hello Sir,
I am a mechanical engineer about to start career in IT i am confused in web development and AI career.
I have already started HTML,Css, Bootstrap, Java script still confused as i see the pay is low .On the other end AI is paying high bt the number of vacancy is low compared to web development and course is lengthy.
At this point i am finding job and i have two option to learn react and make  career in web development (dont know if i need to learn other stuff to for front end developer). Secondly freshly start  career in AI and try to get good package at start.",Since you already have some skills in web development please try to learn the rest and try to get a decent job then parallelly try to learn the AI concepts. Happy learning.
"Hi team,

I have one small question. I have realised that with continuous revision, I have a very strong hold of the concepts taught in the course, and I almost know the nitty gritty of almost every course video's topics, however I tend to forget about the good things that I read from blogs. I tend to make notes of something good that I encounter in a blog, but if I keep making notes of every blog now and then, the notes would get so big that I would barely be able to revise them. So how do I efficiently remember the interesting things from the blogs? any suggestion? I know this varies from person to person, but still if you could give some tips it'd be helpful.",Dont write long notes instead read those blogs and write summaries in your words and keep on revising / reading that summary so that it will be easy and time consuming.
"Hi team, 
wanted to give a feedback about the comment section, where in we write a comment.
When we try to write a long comment, it is really tough to scroll through such a small comment block, could you please increase the size of the comment box?
Same goes with editing response, which is even smaller, so it becomes quite difficult to see which part we wanted to edit.
Thanks",Thank you for your suggestion.
"Can you please give some insights of this
If suppose i am looking for a course which also explains me the algorithm source code as well
,say for example knn classifier
class sklearn.neighbors.KNeighborsClassifier(n_neighbors=5, *, weights='uniform', algorithm='auto', leaf_size=30, p=2, metric='minkowski', metric_params=None, n_jobs=None, **kwargs)[source]

1.Looking for a course which teaches not just sklearn packages and how to use it but explain the mathamatical intuition(which seems to be present alrdy in the course) but also the source code of the same function...without using sklearn packages
2.Want to implement most of the algorithm whithout actually using sklearn or scipy.","We teach you the Mathematics behind the working of ML models so you can write code from scratch very easily. Yes, you can implement the ML models after completing this course."
"I would love to enroll this course, but the amount is more......can I get any coupons other than EMI.",Please drop an email at  team@appliedaicourse.com  we will get back to you.
"Hi , Thanks for the last reply.. Another one  question from my side
Which modules covers 1. Time series analysis , 2. Text mining?","Text mining is covered in 3rd module,while you will find content related to Time series analysis in 5th module."
i also want to learn data science course. but what about placement records?,Kindly drop or call at our given phone no/email for the same. We will surely help you with that.
"Hi team,
New to this field ,just want a kick start..Three questions are popping up
1. All the Ml algos has covered here ?
2. Which module covers the topic deploying ml models?
3. Is the job guarantee there till 12 months after the course completion date?","1. All the algorithms which are mainly used in the real world are included in this course. like Random Forest, GBDT, Logistic Regression, Linear Regression, SVM, CNN, LSTM, GRU, MLP, t-SNE, PCA, etc. Slightly advanced topics like Transformers, BERT, YOLO V3, GANS, Attention models also have been included as live sessions.
2. Module 5 click on this link.
3. Job Guarantee promise is valid even after 6 months of the course completion date given that you have completed a;ll the assignments by following the instructions. But you can not access the course content after 12 months. Happy learning"
"Macbook air Dual Core-10th Gen i3-1.1GHz, 8GB, 256GB SSD is good configuration to do this course","Yes, it's fine."
Hi I am noob in this field and not know much now but I want to ask : In this course we would implement everything using sklearn library or by matrics and formulas?,"For implementing the projects, we use sklearn for ML models and tf.Keras for DL models. But there are some assignments in which students need to write code scratch for understanding things like tf-IDF vectorizer, BOW vectorizer, Bootstrapping, Gradient Descent algorithm, etc. We have given step by step instructions to do these assignments."
"Hey in module 6 , regarding the case studies , are they projects which we work on and can put on our resume?","They're two kinds of projects that you'll do as part of this course:

1. Case studies in the course: These are the projects that will use to teach you how to solve real-world problems using machine learning along with other concepts within these case studies. You can showcase them as projects you've done in your portfolio. Ofcourse, to stand out, you've to tweak them and further do the work by yourself.

2. Self case studies: these are the projects that you'll do all by yourself, right from the start to end. You can absolutely put these projects in your portfolio."
"Hi team,
I just want to clarify about the assignment no 3[Python Mandatory assignment]
How much of the course should i complete for me to be able to complete the above shown assignment",Do it after Module 3
"Hi , Do you provide AWS ML course ? Please mail me the details on my id sushmitavashisht89@gmail.com",no we donot provide AWS Ml course
"Hello aaic plz reply i am going to enroll in ure course so plz tell 
A)Is the topics of data analysis mentioned are covered or not:
1)Data Exploration via Excel/Google Sheets
2)Data Extraction with SQL
3)Data Visualization via Tableau
4)Data Automation via Python
5)Data Analysis/Science with Python + Stat libraries
B)Data management and data wrangling in hadoop or spark is covered or not?
C)etl pipeline topic is covered or not?
D)can anyone become a data scientist and machine learning engineer after completing course content provided by aaic?
Plz reply i am waiting so that sooner i ll enroll in this course","A.
1. No, you can ask for a live session on this topic
2. Yes
3. No, you can ask for a live session on this topic
4. Yes
5. Yes
B. We have a recorded live session on this topic
C. Yes
D. Yes, If you can complete the assignments without plagiarism then we can definitely help you find your dream job.
Happy learning... To help you take better decision please visit this link."
"1)Is every data science topics are covered in this course.
2)can anyone get data science job through this course.
3)ETL pipeline is covered?
4)deep learning is fully covered or not?
5)if deep learning covered,then keras or tensorflow is covered?","1) We have covered the most of the content in this course. Our course is a content rich(both breadth wise and depth wise).
2) Definitely, after you finish all the assignments successfully and clear the mock interviews and build a strong portfolio(We'll assist you in building a strong portfolio).
3) You'll get hands on experience of it when you work on realtime case studies.
4) We have covered Deep Learning till data and also we keep adding more and more advancements in this course. This is not the end of the course. As time keeps progressing, all the advancements in ML/DL will be added in this course.
5) We have discussed both Keras as well as Tensorflow in this course. Also you're supposed to use these modules only while working on assignments and case studies."
one suggestion @applieaicourse you guys should write blog for every major topic which shold be accessible to only course participant,Thanks for the suggestion.
"In the syllabus(In classroom app)  we are told to complete Module 8 first for Case study 11. When we open Module 8, we have Encoder- Decoder Models live session in which one of the prerequisites is Case study 12.
Which should I prefer?",first complete module 8 then go for case study 11 and 12
"Hey , I just wanted to ask is ML/DL getting replaced by cloud services , it getting a job in ML/DL not going to be favorable?","What do you mean by cloud services here? There are so many cloud services out there. If you're talking about the vision API, audio API of tech giants like google. Then the answer is No. These APIs/services aren't going to replace ML/DL jobs.  They just solve a very specific problem, we still need ML/DL engineers to solve various problems in industry."
I just got introduced to this website through a friend and the content interests me a lot. Wanted to understand if the contents inside the 30 modules gets revised with new case studies/assignments/subject areas at regular intervals based on the market trends/student reviews,we have a live session module where based on student's mostly requested new topic's instructor pick it up and go end to end for about 2hrs.( like for example we had a 2hrs session how to build a chatbot)
"Hi , 
Team
My dought is regarding the assignments. What if we get a dought and get stuck with the assignment problem will there be any assistance coming from your side ?","Yes, you can just send us mail to team@appliedaicourse.com and we'll help you out further."
"Hey this is just a suggestion but could you add another module which is has popular interview questions with company tags , like a compilation of questions that has been  asked by that company since the AAIC team has an idea of questions asked by the company or you could get those questions from people who have successfully got a job from AAIC platform","Actually we do not want to confuse the students by adding more and more modules. But at the end of every topic, we have a module called ""Interview Questions"" associated with that algorithm and we are adding all the interview questions in  that odule itself, so that it would be the one and only place where all the interview questions are available instead of having multiple modules and keep moving here and there."
Hello i am an mechanical engineering student 3 rd year and i want to switch my career into  AI field can you suggest me is it a good choice to join or maybe we need some programming background experience in IT and as i am fresher and no experience,"Since you are in 3rd year of your B.Tech, you have ample amount of time to learn the skills needed to transform your career so you can directly join this course. There are no prerequisites for this course, everything needed to this course is already included in this including the coding Python also. happy learning"
is it mandatory for me to go through all live sessions due to time contsraint,They are optional.
Hey could use suggest a good book/guide for machine learning as it will be useful do it side by side with this course? Is Machine Learning using Pythonby U Dinesh Kumar Manaranjan Pradhan good? or are there better ones?,Please refer this
"Sir, I would like to ask about the job guarantee process. Do the job guarantee process guarantee that the new job will be offering you more than the current package we are currently drawing from the present company?","It depends on your previous work experience and the level of the skill you learn, the projects you work on during this course and the type of companies you are attending the interviews."
"Hi Team,
After completing each and every chapter/module should i go to classroom and check if there is any assignment on the same or are there any specific chapters in the syllabus for assignments as it was for EDA?

Thanks.",You can check syllabus at classroom.appliedcourse.com. We have discussed which modules you need to cover for each assignment.
"I had this doubt please clarify, related to curse of dimentionality
[20/06/20, 4:11:52 PM] Abhishek Lomsh: i want to maintain data density when increasing dimension of my data

[20/06/20, 4:12:27 PM] Abhishek Lomsh: i am told to maintain 50% density i would have to add 2^(n-1) unique points
where n is dimension

[20/06/20, 4:13:01 PM] Abhishek Lomsh: [20/06/20, 3:52:54 PM] Abhishek Lomsh: how would the formula change if say i want to maintain 20% density?
 [20/06/20, 3:56:58 PM] Abhishek Lomsh: also are we assuming that each dimension that we add will have 2 possible outcomes?  when we ise 2^(n-1)
 [20/06/20, 3:58:33 PM] Abhishek Lomsh: i had 20 dimensions with binary values and if i add a dimension with 3 possible values i would use 3^(n-1) or something else?
 [20/06/20, 4:00:35 PM] Abhishek Lomsh: i think the formula would change based on what percentage i want to maintain and what are the unique outputs of new dimension 
not sure how it would change",Please post your comment under the appropriate video page. Or please send an email to team@appliedaicourse.com
"Live sessions that have been added as course video, like in module 9 of elastic search do not reflect in course completion percentage, will it be added to id or that will remain seperate?",They are not included in course completion percentage.
Can you upload the list of 30 assignments that are mandatory for job guarantee? or send it to mail?,"if you are a registered student you can find those in classrooms, otherwise mail to team@appliedaicourse.com regarding this"
In python mandatory assignment 5th qn the user will give the input string in list of tuples format or we have to convert it to that format after getting it from user?,Please drop a mail along with your query at team@appliedaicourse.com so that we can help you better.
"Srikanth Varma Chekuri Sir, I want to know how you learned all of this things! And how i can learn more about AI, ML, DL and Data science. PLease reply!","Learning is an ongoing process which never stops. So, we learn as we get more experienced. Please drop a mail at team@appliedaicourse.com so that we can help you with better assistance."
"Hi, I wanted to know is this completely online course or offline classes we need to attend??",It is a complete online course. You need to watch videos and submit assignments online. We will guide on phone and v calls.
"In the mandatory python assignment, The 4th qn code has to be written for real time inputs or for  only those two student and marks inputs?",Implement code on the given data. Don't use a new dataset to do any assignment.
"Hi, i am 2011 B.TECH(CSE) pass out. i do not have any it experience. actually i do not have any experience to show. but i do have some coding skills. i am a good learner. Am i eligible to apply and get job.",If you can complete the assignments as per the instructions then we will definitely help you get your dream job.
"i don't know whether the companies accept me or nor after this long gap from 2011 to 2020. Even after i  
complete the assignments as per the instructions. Did you help anybody like me before with the job?
please let me know.","Please call us on +91 8106-920-029, or send an email to team@appliedaicourse.com"
"What is the effect of imbalanced data on logistic regression?
I think there is none, from geometric point of view in logistic regression we are maximizing the distance of correctly classified point from the hyperplane. How can imbalanced dataset effect this?",Refer this
"In machine learning roles do we need to implement the algorithms or our own or do we use standard libraries like sklearn? 
Implementing algorithm even after understanding maths behind it is taking a lot of time. Should i continue implementing all algorithms or i am better off without doing it?","Initially we recommend you to practice using the libraries like sklearn. Once after you got a strong command on the internal math, you can go ahead with implementing them on your own."
Can you tell me if along with the input matrices the row*col value could also be attained at the run time or is it like we have to get only the input matrices at run time in mandatory python assignment's 1st qn,The row and the column values should be taken as inputs from the user.
"sir i have watched all free videos and decided to enroll for the course but someone suggested me to have some prior knowledge of database structure, algorithms and some programming stuffs. As i come from non CS background i don't have knowledge of any of them. So is it good for me to join the course ?",We have covered Database concepts and Python programming (data structures) also in this course.
Can you please make video on ST-GCN?,Thanks for the suggestion!
"Hello, myself Suyash Thonte, I've read a lot of AAiC but the fees is very much costly and I'm unable to afford it... I'm very much interested in this.. I'm from poor background, if needed I can share my family income certificate etc details, also my less College fees receipt etc... PLEASE can I get this course enrolled for like free or very cheaper, I really don't want to miss this opportunity but at the same time I cannot afford anything..","Hi, Please drop a mail at team@appliedaicourse.com with your personal details and phone number"
I've already sent a mail but still haven't recieved any response but here I'm getting it quickly... Still I'll send over more mail,You will get reply within 24hrs.
"Hello Sir, I am in ending of  my B.E i.e in final year. I have heard of AAIC a lot and also have read all excellent reviews as well as success stories, I'm also interested in enrolling it but after a period of i.e like couple of months(in meanwhile I am planning to strengthen my CS fundamentals like DS/Algo,etc and coding), Will that be ok/a good decision or should I start it now?",it would be best if you can  start now
"Actually the thing is at the moment right now I can't afford for the fees,, so I was asking,, in the mean time will it be better if I cover up the things I mentioned? Also as a fresher, once competing the course, how much package can I expect??",We have an EMI option. EMI starts at ? 2650 per month. For more info please drop us a mail.
Hi. Whats is the best way to approach if you have any doubts when doing the assignment?,"You can drop a mail at team@appliedaicourse.com
Or you can chat with us in the assignment's comments section"
Hi!! The course is too costly. I can't afford it. Can u please make it a little cheaper. I can send u my family income certificate if needed.,Please drop a mail at team@appliedaicourse.com
Validity of course,1year
"Hi team, I want to know whether I will have access to videos after the course duration is over and what kind of certificate I will get?",You will have access to course videos for 1 year of period starting from the date of joining. You will get course completion certificate after completing all the assignments.
"Hi,
I am having 6 Years of experience in Dot net Technology. I want to do transition in Data Science field from Dot Net. How good it is for me with 6 Years of experience in dot net technology. And have completed M.C.A. in 2014.","Just study on,don't think of what you have or what you don't have. Studying with right attitude make things works."
"I want to know about certificates ,how they can be earned  please reply .",once you complete your assignments you are eligible for certificate( then you can just drop a mail to team@appliedaicourse.com )
"Lets say I finished the course - after one year period, will I have access to new content that are being added?","No, the validity is only 365 days."
"I really hope AAIC change this 365 day model. The course is expensive and I think of it as purchasing a product that I can use after one year period. Otherwise the price is just too high for something that can be considered as a rental. I do not mean any disrespect, I love teaching style of srikanth sir. He is an absolute brilliant is this field. I keep coming back to this site and pondering due to srikanth sir youtube sessions. I would jump in this course in a heart beat if you change your business model slightly (that is allow continued access to content after 1 year to loyal students)",Please send an email to team@appliedaicourse.com
I am international student - do you guys take paypal to enroll in ML course?,Please send an email to team@appliedaicourse.com
I am a commerce graduate and have Masters in Marketing Management with more than 10 years of experience in market research and consumer insights. Will this course help me if I want to make a transition into customer analytics side? Or is this course more relevant for engineers / science students only?,yes it can help if you can put long hours
Will I be able to watch the content after 1 year for revision purpose.,"No, but please drop a mail at team@appliedaicourse.com"
What's the validity of this course?,"The course validity is for 1 year. Within this 1 year, you are supposed to complete all the assignments."
"Hi team, Can i know the eligibility criteria for enrolling into this course","Please call us at 0-8106-920-029, so that we can clarify all your queries."
"in the windows application,clicking  'ctrl'+'-' has zoomed out of the web page but 'ctrl'+'+' is not zooming in . please help","Please try with ctrl + only, not ctrl ++."
Could you tell the average salary per annum the students received getting placed via this course please? Could you tell few companies where students got placed through this course?,"For companies, you can visit success stories page on our website. For other details, please send an email to team@appliedaicourse.com"
"Sir,I want to know am i get any certification after completing the course?","Yes, once after you finish all the assignments in this course and get them successful evaluated, you'll receive a course completion certificate from AppliedAI and you can add it on your resume."
"hello team,
while looking at some code , I came across something like this "" yield [ a , *b] "", where  a is an array and b = func()[some function]. what is the meaning of star(*) in this?",check this
"Hi Team,

 can i get some written notes/shorthand book type of things to revise time to time the completed topics ,also to quickly revise the topics before any interview.

Thanks
Binit",Please go to this link. We suggest to make your own notes as it helps better.
"Hi, there is a primary but important query. I have watched most of your free videos and I found it so useful than any other videos available on Youtube. Specially the teaching technique is so simple and comprehensive. For almost one and half years, I have been searching for a proper and easy way of understanding for Data science course keeping the course fees and job assurance in mind. Before taking the course,I want to let you know that currently I am working in a company and I want to pursue my career in Data science but I am weak in mathematics and I have no prior programming knowledge, But having all the contraries, I am not afraid of working hard if I get proper guidance. Please suggest me whether I should take this course or anything else advice you can give me. I would be grateful for this.",mathematics required for data science has been explained in simple language and we have python chapter required for data science too. it will be a good learning experience
"Hello Team,
i have seen object detection  using yolo v3 video and,  my question is: how to create labels for custom dataset?","Please refer these links : https://www.youtube.com/watch?v=EGQyDla8JNU
https://towardsdatascience.com/build-a-custom-trained-object-detection-model-with-5-lines-of-code-713ba7f6c0fb"
i justed joined this course today...can u plz tell me how and from where to start??,Please follow the syllabus don't skip any chapter.
"I have some doubts with question 7 of  Assignment 3(Mandatory Python):
The question was to smoothed the curve:
eg given: _, _, 30, _, _, _, 50, _, _
Sol: 10, 10, 12, 12, 12, 12, 4, 4, 4
My doubt is what about this case:
eg:  _, _, 30, _, _, _,40,150,60,30,_,_,50, _, _
What should the smoothed output here? Can you please help. If this is the wrong platform to ask assignment related questions? Can you please redirect it to me?",Please drop us a mail at team@appliedaicourse.com regarding assignments.
"Hello All , i just came across a nice open source 

https://github.com/eriklindernoren/ML-From-Scratch?fbclid=IwAR3KQPeeUxn8zWgv0zIyF9w_qxBepeJ3_y1LSgkNoDUcljcHKsja8MlCMrk#classification-with-cnn

might be helpful",Thanks for sharing.
In the 6th module do we build those projects shown as case study?,"Yes, we teach the concepts and ask you to perform similar other tasks."
Can i get this course for free somehow as i belong to a middle class family and i dont have the required funds to give a lot of money and i want to learn and i dont want the money become barrier in my education.,Please drop an email at team@appliedaicourse.com
What is the difficulty level of the assignments?,"If you understand the theory well, it is very easy to follow the step by step instructions given under each assignment."
where can i drop emails about doubts on assignments,You can send them to team@appliedaicourse.com
I have around 8+ experience in automotive and auto ancillary sector .Want to learn data science .I have done lots of search and final got ur course info. Hope the person like me with no experience of IT can make a transction to Data world through your course .,happy learning
"sir,in this course completion certificate will be there or not","Yes, once after you complete all the assignments and after successful evaluation, you'll get a course completion certificate."
"hello sir,
first of all, thank you so much for providing such content. I really want to buy this course could you please help me to go through this process.",Yes we will help you along the way throughout the course. For further queries please drop a mail at team@appliedaicourse.com.
"How can we get in touch with someone to get better understanding of the program and get career guidance for enrolling?
How many projects and case studies is included in the program and the duration to complete everything?",Please drop a mail regarding your query at team@appliedaicourse.com so that we can help you better
It will be helpful if we get search option by subject within the course videos.,"If you are referring to the comments, then we already have ""search"" option in the comments section."
"No, I am asking for the global search option within the course contents.",We will try to add global search option within the course contents.
Can you please provide optimized codes for the assignments as soon as you receive answer copies of assignments from students so that students can compare their codes with the optimized ones?,we will look into your suggestion
Video sound is too low. But its okay with other sites. Please check on that,Please use chrome extensions https://chrome.google.com/webstore/detail/volume-booster/ejkiikneibegknkgimmihdpcbcedgmpo
how long it would take to complete the course if I spend 3 to 4 hrs per day?,"Go to the schedule tab or link at website and fill the form, we will send you the schedule as per your investing hours"
I am looking for the data science. In that case do I need to complete entire course or only 1 and 2nd module. I as data science written in front of them. I please suggest,You have to complete the entire course.
"sir,i have completed and applied ml algorithms i got 96% accuracy in logistic regression but got only 26% accuracy when run the model in unseen datasets could explain?
i think due to overfitting and how to overcome it! could you resolve","Please mention the Train and CV scores. It is difficult to answer without context.
1. For Balanced Dataset: (Assuming your dataset is balanced)
i. If Train and CV accuracy are similar and the test accuracy is low then there may be some data leakage issue from CV to train due to which it is overfitting to the Train and Cv datasets.
ii. If Train and CV accuracy are dissimilar and the test accuracy is low then there may be some high variance issue, that is the model is overfitted to the Training dataset and no leakage issue."
SIr how can i Download the video lecture jupyter notebook?,"Yes, you can download the ipython notebooks. For those lectures in which we have discusssed the code part, just below the video player, you'll find a hyperlink to download the ipython notebook associated with that lecture."
"I love the way it was altered this course. but when i download the course syllabus 'DOWNLOAD SYLLABUS', the syllabus is still old structure of the course. If Possible, Please correct this. Thank you in advance.",Thank you for the feedback. We'll rectify it.
Hello Team.. Is there any lecture plan for Log analysis i have been trying to read online materials but not able to make a sense out of it.. it will be great to have Verma Sir shed some light on this topic so that we could head start in right direction.. Please consider this as my humble request.. :),Please drop us a mail at team@appliedaicourse.com regarding the same.
How does the placement assistance work for AAIC? I am in my third year and would like to enroll in the Machine Learning course.,As you finish your mandatory assignments in the course (within 1 year) we forward your resume to employers and help you to crack interviews by 2 mock interviews internally.
"Hi Sir,  Could you please help me to provide the Python code for Demand forecasting and Price optimisation project code in python.","No, we can't provide you the direct project code. You should be solving the problem by yourself, if you get stuck anywhere, we can help you out for that specific problem."
"i am interested in this course , would any assistance in job search be provided in usa or is it only restricted to india? i am currently located in usa on h1b","Please contact us at 91-8106-920-029.
You also can reach us at team@appliedaicourse.com and please do not forget to mention your contact number."
"Now that I have completed the Course and Got Certified awaiting my placements, I feel so proud of myself for joining this course, and let me tell you the concepts and depth you guys go to is just mesmerizing simply just the knowledge you guys have and the way you share it any newbie person go from zero to hero after this course. I have seen the course expand when I joined on Apr 2019 and till today, the contents the Live sessions have been so helpful, it seems finally being a CS student I am making some progress in actually learning what is the best use of a Machine is. Thank you guys for making such beautiful and elegant content. Nothing can beat AAIC in the coming years. I wish you guys grow to be the most successful training content makers there is.",Thank you for the feedback!
Iam unable to access my course assignments i used my login credentials to login into AAiC class room showing invalid.??,Please drop us the mail at team@appliedaicourse.com
sir what is this slack,refer this
Do we get lifetime access to the content?,No. It's valid for only 1 year.
I have 12 years of working experience in IT industry. I am looking for a AIML course in different institute. It seems this course is mostly for new joiners ...Will this course be useful to those folks who have 10+ software coding experience like me...,"Yes, definitely. we cover basic to advanced topics/SOTA like DenseNet, YOLO V3, etc. And provide Mentorship for the students to help them build a very strong Portfolio wrt your past career. please watch the video."
"Sir in which framework you teach this such as pytorch,tensorflow..Sir I also able to participate in kaggle competition after this course.",we typically use tensorflow and keras. yes you can participate
Hello Applied Ai team I have a dought that wheather this course has covered coding or only theory is there please inform,code which we encounter throughout the course has been explained
If i am unable to complete all assignments still can I sit for placement?,we need to complete all those assignments
"Hi,
The videos here are well ordered. But I'm lost when it comes to deciding which assignment is associated with which chapter. I cannot decide whether to go for the next assignment after completing a chapter here or whether the assignment requires me to complete some other chapter.
It would be better if in the assignment instructions in classroom, the chapters which need to be completed here are mentioned for each assignment",Why don't you cover each chapter one by one as each leacture at end explain what assignment to do. If you asking this query it means you haven't gone through videos well enough.
will u provide any degree certificate??,We will provide you course completion certificate.
duration and how many months will it take to cpmlete the course,"It depends upon your effort, but for some reference please use https://docs.google.com/forms/d/e/1FAIpQLSd0SZ_i3MwxVSASEj4J2Auv9LayLQOEtzglx4YV-TYTf8P0YQ/viewform"
"Sir, I am confused actually I passed BCA from Ignou in 2019. Initially,I am confused to do masters and looking for job whether my mind strike for applied ai course and do work hard and get job. Really Confused in the situation.... Help me out?",do checkout free videos and take a call. it will definately boost your career in datascience area
"Could you tell what do you mean by case studies, is it projects?","yes they are projects,for the real world problems you have to create ML model for solving those problems along with EDA, pre processing, tuning etc. You can check it module 6 for the same."
"Hey , are there any projects that we do in this course?","yes, there are case studies as real word problems that you will have to do, along with 2 self case studies."
i want to learn artificial intelligence in depth. but before diving deep into it i want to get a detailed  overview of it. can you suggest me a resource where it is explained in layman terms without getting into maths. hope i m nt being silly here.,"Well we have provided the overview of AI,deep learning,machine learning,data science. It's enough to have that much knowledge. I would suggest you get on to real stuff without worrying much about AI as special."
"Hello sir , i m currently working in mechanical fields from past 2 years.
I want to switch in IT field i am interested in data science in python.
Is it possible to get job for mechanical engineers.?? And if get then what will be the average package??
My mail id - tusharchavhan111196@gmail.com
Cell no.-7276274187",Please drop a mail at team@appliedaicourse.com for detailed enquiry. We will help you with your queries.
"Hello team,

In a neural network, when I was using relu as my activation function, the discriminant(the boundary) had sharp edges, but when i used tanh, it had smooth edges. what is the reason for it.(website: neural network playground: concentric circle dataset, task: classification)

Thank you in advance.",Relu takes lot of piecewise linear functions to fit as compared to tanh so this sharp edges. refer to 'Michael Lee' comment here
sir can i complete course with AMD A6-7310 APU with AMD Radeon R4 Graphics and 4.00 GB RAM ?,yes you can complete. for deep learning assignments you might need to use google colab
Please add Robotic process automation live sessions to give us an overview of RPA.,Thanks for the suggestion!
"Could you please add which modules are required for completing an assignment in the assignment. 
Helps in preparing better",Every topic in this course has an assignment and we recommend you to complete the video lectures of a topic first and then attempt the assignment associated with that topic. Please do not skip any video and follow all the videos as the order in which they appear on the website.
"Dear Team, Please try to  add below 3 sections in website:
1. View all pending videos
2. View All Questions Added by ME <By  Current User>
3. Book Mark Videos for Revision

Thanks.",Thanks for the suggestion!
"Hi,
Can i get some written notes of this course to revise the material.
or please provide me the book name relevant to this course.
my email id: karunrp2399@gmail.com

regards, 
karun",We provide the ipython notebooks as a part of the course. We recommend the students to prepare their own notes while going through the lectures itself and also we advise them to refer to the wikipedia and some books so that their command on the topics could become much more stronger.
